Date,Price,Open,High,Low,Vol.,Change %
03-04-24,89.63,89.63,89.63,89.63,,0.43%
02-04-24,89.24,89.24,89.24,89.24,,1.67%
01-04-24,87.77,87.77,87.77,87.77,,4.30%
28-03-24,84.15,84.15,84.15,84.15,,0.05%
27-03-24,84.11,84.11,84.11,84.11,,-0.04%
26-03-24,84.14,84.14,84.14,84.14,,-0.10%
25-03-24,84.23,84.23,84.23,84.23,,0.24%
22-03-24,84.03,84.03,84.03,84.03,,-0.13%
21-03-24,84.14,84.14,84.14,84.14,,-0.01%
20-03-24,84.15,84.15,84.15,84.15,,-0.56%
19-03-24,84.62,84.62,84.62,84.62,,0.18%
18-03-24,84.47,84.47,84.47,84.47,,0.78%
15-03-24,83.82,83.82,83.82,83.82,,-0.10%
14-03-24,83.9,83.9,83.9,83.9,,0.53%
13-03-24,83.46,83.45,83.45,83.45,,1.59%
12-03-24,82.14,82.14,82.14,82.14,,-0.16%
11-03-24,82.28,82.28,82.28,82.28,,0.37%
08-03-24,81.97,81.97,81.97,81.97,,-0.57%
07-03-24,82.44,82.44,82.44,82.44,,0.03%
06-03-24,82.42,82.42,82.42,82.42,,0.98%
05-03-24,81.62,81.62,81.62,81.62,,-0.54%
04-03-24,82.06,82.06,82.06,82.06,,-1.22%
01-03-24,83.07,83.07,83.07,83.07,,2.71%
29-02-24,80.88,80.88,80.88,80.88,,0.02%
28-02-24,80.86,80.86,80.86,80.86,,-0.09%
27-02-24,80.93,80.93,80.93,80.93,,0.12%
26-02-24,80.83,80.83,80.83,80.83,,0.15%
23-02-24,80.71,80.71,80.71,80.71,,-0.59%
22-02-24,81.19,81.19,81.19,81.19,,0.21%
21-02-24,81.02,81.02,81.02,81.02,,0.30%
20-02-24,80.78,80.78,80.78,80.78,,-0.56%
16-02-24,81.24,81.23,81.23,81.23,,0.26%
15-02-24,81.02,81.02,81.02,81.02,,0.76%
14-02-24,80.41,80.41,80.41,80.41,,-0.85%
13-02-24,81.1,81.1,81.1,81.1,,0.63%
12-02-24,80.59,80.59,80.59,80.59,,-0.09%
09-02-24,80.66,80.66,80.66,80.66,,0.12%
08-02-24,80.56,80.56,80.56,80.56,,2.17%
07-02-24,78.85,78.85,78.85,78.85,,0.65%
06-02-24,78.35,78.34,78.34,78.34,,0.34%
05-02-24,78.08,78.08,78.08,78.08,,0.93%
02-02-24,77.36,77.36,77.36,77.36,,-1.53%
01-02-24,78.57,78.57,78.57,78.57,,-0.35%
31-01-24,78.85,78.85,78.85,78.85,,0.02%
30-01-24,78.83,78.83,78.83,78.83,,0.07%
29-01-24,78.78,78.78,78.78,78.78,,-0.14%
26-01-24,78.89,78.89,78.89,78.89,,0.10%
25-01-24,78.81,78.81,78.81,78.81,,0.61%
24-01-24,78.33,78.33,78.33,78.33,,0.20%
23-01-24,78.18,78.18,78.18,78.18,,-0.16%
22-01-24,78.3,78.3,78.3,78.3,,0.68%
19-01-24,77.77,77.77,77.77,77.77,,-0.28%
18-01-24,77.99,77.99,77.99,77.99,,0.71%
17-01-24,77.45,77.45,77.45,77.45,,-0.32%
16-01-24,77.7,77.7,77.7,77.7,,-0.23%
12-01-24,77.88,77.88,77.88,77.88,,0.52%
11-01-24,77.48,77.48,77.48,77.48,,0.57%
10-01-24,77.04,77.04,77.04,77.04,,-0.48%
09-01-24,77.41,77.41,77.41,77.41,,1.64%
08-01-24,76.16,76.16,76.16,76.16,,-2.72%
05-01-24,78.29,78.29,78.29,78.29,,1.49%
04-01-24,77.14,77.14,77.14,77.14,,-1.36%
03-01-24,78.2,78.2,78.2,78.2,,2.95%
02-01-24,75.97,75.97,75.97,75.97,,-1.77%
29-12-23,77.33,77.33,77.33,77.33,,0.05%
28-12-23,77.29,77.29,77.29,77.29,,-0.13%
27-12-23,77.39,77.39,77.39,77.39,,-0.26%
26-12-23,77.59,77.59,77.59,77.59,,0.39%
22-12-23,77.29,77.29,77.29,77.29,,0.03%
21-12-23,77.27,77.27,77.27,77.27,,-0.13%
20-12-23,77.36,77.36,77.36,77.36,,0.22%
19-12-23,77.19,77.19,77.19,77.19,,0.62%
18-12-23,76.72,76.72,76.72,76.72,,0.49%
15-12-23,76.34,76.34,76.34,76.34,,0.05%
14-12-23,76.3,76.3,76.3,76.3,,1.92%
13-12-23,74.87,74.87,74.87,74.87,,-0.15%
12-12-23,74.98,74.98,74.98,74.98,,-2.33%
11-12-23,76.77,76.77,76.77,76.77,,0.33%
08-12-23,76.51,76.51,76.51,76.51,,1.66%
07-12-23,75.27,75.27,75.27,75.27,,-0.05%
06-12-23,75.3,75.3,75.3,75.3,,-2.81%
05-12-23,77.48,77.48,77.48,77.48,,-0.92%
04-12-23,78.19,78.19,78.19,78.19,,-1.57%
01-12-23,79.44,79.44,79.44,79.44,,-4.93%
30-11-23,83.56,83.56,83.56,83.56,,0.08%
29-11-23,83.49,83.49,83.49,83.49,,0.04%
28-11-23,83.46,83.46,83.46,83.46,,0.17%
27-11-23,83.32,83.32,83.32,83.32,,-0.09%
24-11-23,83.4,83.4,83.4,83.4,,-0.44%
22-11-23,83.76,83.76,83.76,83.76,,-0.19%
21-11-23,83.92,83.92,83.92,83.92,,0.17%
20-11-23,83.78,83.78,83.78,83.78,,0.84%
17-11-23,83.08,83.08,83.08,83.08,,1.92%
16-11-23,81.51,81.52,81.52,81.52,,-2.04%
15-11-23,83.21,83.21,83.21,83.21,,-0.72%
14-11-23,83.82,83.82,83.82,83.82,,-0.05%
13-11-23,83.86,83.86,83.86,83.86,,0.61%
10-11-23,83.35,83.35,83.35,83.35,,1.10%
09-11-23,82.44,82.44,82.44,82.44,,0.29%
08-11-23,82.2,82.2,82.2,82.2,,-1.65%
07-11-23,83.58,83.58,83.58,83.58,,-3.17%
06-11-23,86.32,86.33,86.33,86.33,,0.46%
03-11-23,85.93,85.93,85.93,85.93,,-1.97%
02-11-23,87.65,87.65,87.65,87.65,,2.83%
01-11-23,85.24,85.24,85.24,85.24,,-5.04%
31-10-23,89.76,89.76,89.76,89.76,,0.09%
30-10-23,89.68,89.67,89.67,89.67,,-0.22%
27-10-23,89.88,89.88,89.88,89.88,,0.26%
26-10-23,89.64,89.64,89.64,89.64,,-0.43%
25-10-23,90.02,90.02,90.02,90.02,,0.55%
24-10-23,89.54,89.54,89.54,89.54,,-0.60%
23-10-23,90.07,90.08,90.08,90.08,,-0.65%
20-10-23,90.66,90.66,90.66,90.66,,-0.19%
19-10-23,90.83,90.83,90.83,90.83,,0.34%
18-10-23,90.53,90.53,90.53,90.53,,0.77%
17-10-23,89.84,89.84,89.84,89.84,,0.26%
16-10-23,89.61,89.61,89.61,89.61,,-0.57%
13-10-23,90.12,90.12,90.12,90.12,,3.15%
12-10-23,87.37,87.37,87.37,87.37,,0.18%
11-10-23,87.21,87.21,87.21,87.21,,-1.14%
10-10-23,88.22,88.22,88.22,88.22,,-0.36%
09-10-23,88.54,88.53,88.53,88.53,,3.09%
06-10-23,85.88,85.88,85.88,85.88,,0.44%
05-10-23,85.5,85.5,85.5,85.5,,-1.64%
04-10-23,86.93,86.93,86.93,86.93,,-4.92%
03-10-23,91.43,91.43,91.43,91.43,,0.11%
02-10-23,91.33,91.33,91.33,91.33,,-2.12%
29-09-23,93.31,93.31,93.31,93.31,,0.16%
28-09-23,93.16,93.16,93.16,93.16,,-0.11%
